<b>[April 4, 2015 8:24 pm]</b> Confirmation message sent to rus@pureformgolf.com for appointment ID:1
<b>[July 21, 2015 6:26 am]</b> Error calling GET https://www.googleapis.com/calendar/v3/calendars/pureformgolf.com_43mdmns48cucb2to8br86p2lss@group.calendar.google.com/events?timeMin=2015-07-21T06%3A26%3A58%2B00%3A00&timeMax=2016-07-20T06%3A26%3A58%2B00%3A00&singleEvents=true&maxResults=500&orderBy=startTime: (0) 
<b>[July 22, 2015 10:36 am]</b> Error calling POST https://www.googleapis.com/calendar/v3/calendars/pureformgolf.com_43mdmns48cucb2to8br86p2lss@group.calendar.google.com/events: (403) Forbidden
<b>[July 22, 2015 10:36 am]</b> The insert did not create a real result we can work with
<b>[July 22, 2015 5:03 pm]</b> Confirmation message sent to rus@pureformgolf.com for appointment ID:9
<b>[July 22, 2015 5:03 pm]</b> Error calling POST https://www.googleapis.com/calendar/v3/calendars/pureformgolf.com_43mdmns48cucb2to8br86p2lss@group.calendar.google.com/events: (403) Forbidden
<b>[July 22, 2015 5:03 pm]</b> The insert did not create a real result we can work with
<b>[July 22, 2015 5:07 pm]</b> Confirmation message sent to rus@pureformgolf.com for appointment ID:10
<b>[July 22, 2015 5:07 pm]</b> Error calling POST https://www.googleapis.com/calendar/v3/calendars/pureformgolf.com_43mdmns48cucb2to8br86p2lss@group.calendar.google.com/events: (403) Forbidden
<b>[July 22, 2015 5:07 pm]</b> The insert did not create a real result we can work with
<b>[July 23, 2015 9:31 am]</b> Reminder message sent to rus@pureformgolf.com for appointment ID:10
<b>[July 23, 2015 11:36 am]</b> Reminder message sent to rus@pureformgolf.com for appointment ID:9
<b>[July 30, 2015 4:23 pm]</b> HTTP Error: (0) connect() timed out!
<b>[July 30, 2015 4:23 pm]</b> Error calling GET https://www.googleapis.com/calendar/v3/calendars/pureformgolf.com_43mdmns48cucb2to8br86p2lss@group.calendar.google.com/events?timeMin=2015-07-30T16%3A23%3A25%2B00%3A00&timeMax=2016-07-29T16%3A23%3A25%2B00%3A00&singleEvents=true&maxResults=500&orderBy=startTime: (0) 
